,Player_Name,Matches_Played,Kills,Deaths,Assists,Damage_Dealt,Headshots,Wins,Top_10s,Revives,Distance_Traveled,Weapons_Used,Time_Survived,Rank
0,StealthMaster,250,587,143,98,15243,234,32,145,67,72560,12,28976,Gold
1,SniperLion,312,823,218,112,18975,312,42,189,95,89042,15,33652,Diamond
2,NinjaGamer,186,492,84,56,11786,156,28,97,48,60924,10,21764,Platinum
3,ThunderStrike,409,923,267,134,21037,288,55,258,128,98234,18,40128,Silver
4,SpeedDemon,143,368,68,42,9865,123,20,72,36,52072,8,16834,Gold
5,BlazeFury,288,642,156,74,14238,189,35,129,57,68894,11,27345,Platinum
6,RapidShadow,201,539,93,68,12689,165,26,89,42,59871,9,21986,Gold
7,Frostbite,178,421,105,63,10572,147,18,68,39,52590,8,18743,Silver
8,SavageQueen,332,748,193,122,17654,272,47,211,89,78216,14,32598,Diamond
9,SwiftStriker,194,511,87,58,13579,182,23,83,51,56978,9,24173,Platinum
10,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
11,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
12,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
13,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
14,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
15,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
16,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
17,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
18,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
19,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
20,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
21,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
22,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
23,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
24,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
25,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
26,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
27,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
28,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
29,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
30,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
31,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
32,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
33,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
34,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
35,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
36,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
37,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
38,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
39,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
40,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
41,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
42,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
43,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
44,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
45,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
46,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
47,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
48,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
49,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
50,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
51,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
52,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
53,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
54,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
55,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
56,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
57,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
58,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
59,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
60,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
61,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
62,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
63,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
64,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
65,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
66,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
67,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
68,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
69,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
70,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
71,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
72,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
73,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
74,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
75,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
76,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
77,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
78,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
79,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
80,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
81,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
82,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
83,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
84,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
85,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
86,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
87,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
88,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
89,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
90,BlazingSun,263,692,158,89,16273,207,39,132,63,64402,12,27689,Platinum
91,ShadowStrike,215,562,96,74,13452,163,30,101,47,56623,10,23184,Gold
92,SteelGuardian,289,703,175,101,17481,222,37,134,59,68937,11,29673,Diamond
93,WickedWitch,176,387,78,47,9867,127,21,69,35,49785,9,19876,Silver
94,RuthlessRaptor,336,826,222,139,20357,278,48,178,76,75894,15,31984,Diamond
95,FrostyFox,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
96,ViperVenom,221,621,154,86,14598,193,29,102,48,60986,11,24872,Platinum
97,CrimsonReaper,278,719,185,118,16678,218,36,128,62,68591,13,29145,Platinum
98,PhantomGhost,185,471,91,55,11876,138,22,74,37,52103,9,20763,Gold
99,StormStrider,257,654,147,92,15645,201,34,118,54,62891,11,26587,Diamond
100,StormBreaker,213,577,126,93,14123,204,28,99,50,59674,10,24687,Platinum
101,SapphireSword,238,621,145,102,15346,219,33,111,55,61598,11,25647,Platinum
102,ShadowReign,241,662,168,117,16092,232,35,119,59,62987,12,26679,Diamond
103,DragonSlayer,229,619,141,97,14894,213,31,105,52,60982,11,25567,Platinum
104,SilverShadow,218,589,132,89,14389,207,30,100,50,59976,10,25046,Platinum
105,EagleEye,226,604,155,100,15234,216,32,110,56,61875,11,26135,Platinum
106,BlazingStorm,193,518,109,71,12876,193,25,87,43,55589,10,23259,Gold
107,MidnightSage,247,681,173,119,16098,224,36,120,58,62974,11,26678,Diamond
108,RapidBlaze,202,537,122,82,13367,189,28,93,47,57894,9,24256,Platinum
109,FrostFire,211,548,117,79,13687,197,30,100,49,58976,10,25068,Gold
110,ScarletWitch,254,679,152,98,15678,214,35,115,56,62893,11,26578,Platinum
111,RagingTiger,288,731,188,124,16679,230,37,128,61,66678,12,28056,Diamond
